TIMESTAMP,PO,ORDER_NO,CUSTOMER_NAME,CONSINGEE_NAME,Item_Description,BF,GSM,SizeReel,QTY,DELIVERY_DATE,INVOICE_DATE
27/02/2023 11:52:00,KY-433,2351,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,174,5000,02/03/2023,27/02/2023
27/02/2023 11:52:00,KY-433,2351,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL UPTO 150 GSM,18,140,174,2000,02/03/2023,27/02/2023
27/02/2023 11:52:00,KY-433,2351,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL 151-224,18,180,138,2000,02/03/2023,27/02/2023
27/02/2023 11:52:00,KY-433,2351,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL 151-224,18,180,144,2000,02/03/2023,27/02/2023
27/02/2023 12:01:00,ACPL-1591/ADDITION,2350,ALIGN COMPONENTS PVT. LTD. (BUII),ALIGN COMPONENTS PVT. LTD. (BUII),KRAFT PAPER NATURAL UPTO 150 GSM,18,140,172.5,5000,28/02/2023,27/02/2023
27/02/2023 12:18:00,87,2352,BIYANI PACKAGING PRIVATE LIMITED ,BIYANI PACKAGING PRIVATE LIMITED ,KRAFT PAPER NATURAL UPTO 150 GSM,18,140,145,2000,02/03/2023,27/02/2023
27/02/2023 12:18:00,87,2352,BIYANI PACKAGING PRIVATE LIMITED ,BIYANI PACKAGING PRIVATE LIMITED ,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,96.5,6000,02/03/2023,27/02/2023
27/02/2023 01:06:00,LTPL-02-23-153,2353,LAKHOTIYA TRADERS PVT. LTD.-DRS,AASHIRWAD PACKAGING,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,65.5,655,02/03/2023,27/02/2023
27/02/2023 01:06:00,LTPL-02-23-153,2353,LAKHOTIYA TRADERS PVT. LTD.-DRS,AASHIRWAD PACKAGING,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,68.5,685,02/03/2023,27/02/2023
27/02/2023 01:06:00,LTPL-02-23-153,2353,LAKHOTIYA TRADERS PVT. LTD.-DRS,AASHIRWAD PACKAGING,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,95,1900,02/03/2023,27/02/2023
27/02/2023 01:06:00,LTPL-02-23-153,2353,LAKHOTIYA TRADERS PVT. LTD.-DRS,AASHIRWAD PACKAGING,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,110,1100,02/03/2023,27/02/2023
27/02/2023 01:06:00,LTPL-02-23-153,2353,LAKHOTIYA TRADERS PVT. LTD.-DRS,AASHIRWAD PACKAGING,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,81,810,02/03/2023,27/02/2023
27/02/2023 01:06:00,LTPL-02-23-153,2353,LAKHOTIYA TRADERS PVT. LTD.-DRS,AASHIRWAD PACKAGING,KRAFT PAPER GOLDEN YELLOW 151-224,18,180,81,1620,02/03/2023,27/02/2023
27/02/2023 01:06:00,LTPL-02-23-153,2353,LAKHOTIYA TRADERS PVT. LTD.-DRS,AASHIRWAD PACKAGING,KRAFT PAPER GOLDEN YELLOW 151-224,18,180,95,950,02/03/2023,27/02/2023
27/02/2023 01:11:00,KY-432,2354,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,96.5,1000,03/03/2023,27/02/2023
27/02/2023 01:11:00,KY-432,2354,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,100,1000,03/03/2023,27/02/2023
27/02/2023 01:11:00,KY-432,2354,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,108,6000,03/03/2023,27/02/2023
27/02/2023 01:11:00,KY-432,2354,S PAPERS,K B Industries - SP,KRAFT PAPER NATURAL UPTO 150 GSM,18,120,132,3000,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,61,1000,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,66,1000,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,75,1000,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,81.5,4500,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,86.5,2000,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,96.5,5000,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,107,500,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,112,500,03/03/2023,27/02/2023
27/02/2023 02:44:00,PPPL//1996,2355,PRANSHU PAPER PVT. LTD.,SABARI PACKAIDS PVT LTD,KRAFT PAPER GOLDEN YELLOW UPTO 150 GSM,18,150,119.5,1000,03/03/2023,27/02/2023
27/02/2023 03:51:00,79,2357,KRISHNA AGENCIES,AVADHOOT PAPER PRODUCTS PVT LTD (KA),KRAFT PAPER NATURAL UPTO 150 GSM,18,120,163.5,3000,03/03/2023,27/02/2023
27/02/2023 03:51:00,79,2357,KRISHNA AGENCIES,AVADHOOT PAPER PRODUCTS PVT LTD (KA),KRAFT PAPER NATURAL UPTO 150 GSM,18,120,175.5,7000,03/03/2023,27/02/2023
27/02/2023 03:51:00,79,2357,KRISHNA AGENCIES,AVADHOOT PAPER PRODUCTS PVT LTD (KA),KRAFT PAPER NATURAL UPTO 150 GSM,18,150,175.5,4000,03/03/2023,27/02/2023
27/02/2023 03:51:00,79,2357,KRISHNA AGENCIES,AVADHOOT PAPER PRODUCTS PVT LTD (KA),KRAFT PAPER NATURAL UPTO 150 GSM,18,150,163.5,2000,03/03/2023,27/02/2023
27/02/2023 03:51:00,79,2357,KRISHNA AGENCIES,AVADHOOT PAPER PRODUCTS PVT LTD (KA),KRAFT PAPER NATURAL UPTO 150 GSM,18,150,181.5,5000,03/03/2023,27/02/2023
